Sim_No.,1:V__TIMP.bsn,2:V__SFTMP.bsn,3:V__SMTMP.bsn,4:V__SMFMN.bsn,5:V__SMFMX.bsn,6:V__SNOCOVMX.bsn,7:V__SURLAG.bsn,8:V__ADJ_PKR.bsn,9:V__EVRCH.bsn,10:V__TRNSRCH.bsn,11:V__GW_DELAY.gw,12:V__GWQMN.gw,13:V__ALPHA_BF.gw,14:V__REVAPMN.gw,15:V__GW_REVAP.gw,16:V__RCHRG_DP.gw,17:V__GW_SPYLD.gw,18:V__LAT_TTIME.hru,19:V__OV_N.hru,20:V__SLSUBBSN.hru,21:R__HRU_SLP.hru,22:V__SLSOIL.hru,23:V__ESCO.hru,24:V__CH_N2.rte,25:V__CH_K2.rte,26:V__ALPHA_BNK.rte,27:R__CH_WDR.rte,28:R__CH_D.rte,29:R__CH_W2.rte,30:R__CH_L2.rte,31:R__CH_S2.rte,32:V__SOL_K(..).sol,33:V__SOL_BD(..).sol,34:V__ELEVB(..).sub,35:R__CH_L1.sub,36:R__CH_S1.sub,37:R__CH_W1.sub,38:V__CH_N1.sub,39:V__CH_K1.sub,40:V__PLAPS.sub,41:V__CN2.mgt,42:V__RAINHHMX(..).wgn,43:V__RAINHHMX(..).wgn,44:V__RAINHHMX(..).wgn,45:V__RAINHHMX(..).wgn,46:V__RAINHHMX(..).wgn,47:V__RAINHHMX(..).wgn,48:V__RAINHHMX(..).wgn,49:V__RAINHHMX(..).wgn,50:V__RAINHHMX(..).wgn,51:V__RAINHHMX(..).wgn,52:V__RAINHHMX(..).wgn,53:V__RAINHHMX(..).wgn,54:V__BIOMIX.mgt,NSE,bR?,D
1,0.0207,0.81225,0.63275,0.62525,0.73225,0.07775,0.213749478,0.755733333,0.5572,0.1972,0.06425,0.71825,0.7502,0.78725,0.883888889,0.9868,0.41225,0.48275,0.129749917,0.86275,0.50426,0.34575,0.0578,0.652903226,0.348750025,0.4238,0.640240481,0.866252505,0.793747495,0.946252505,0.010240481,0.96675,0.04775,0.60025,0.43524,0.03776,0.97474,0.622750917,0.75775,0.94425,0.396750794,0.0087504,0.8362504,0.4932504,0.8132504,0.1837504,0.2257504,0.9532504,0.1182504,0.2642504,0.7502504,0.3412504,0.9277504,0.8978,-1.201069,0.099801279,0.569638476
2,0.2338,0.93525,0.31625,0.74125,0.51875,0.69475,0.069248434,0.360266667,0.8222,0.3598,0.69475,0.81125,0.9268,0.97875,0.447777778,0.9747,0.37025,0.10975,0.35075025,0.99275,0.23274,0.80475,0.6647,0.361290323,0.688750025,0.9553,0.542745491,0.736753507,0.530741483,0.771743487,0.316753507,0.02975,0.28925,0.94525,0.96424,0.40226,0.31274,0.664251417,0.89825,0.48525,0.713749206,0.8612504,0.0572504,0.4867504,0.5697504,0.7682504,0.8532504,0.2157504,0.3132504,0.6857504,0.6242504,0.8732504,0.7622504,0.0397,0.169503,0.156640929,0.46498059
3,0.1673,0.02125,0.14125,0.41825,0.69125,0.98975,0.436751566,0.148733333,0.3722,0.7567,0.61275,0.81725,0.2973,0.15425,0.895,0.3663,0.16325,0.27725,0.491250417,0.64775,0.36674,0.13575,0.8363,0.922903226,0.328750025,0.5518,0.219759519,0.414749499,0.206753507,0.341743487,0.910741483,0.13625,0.65225,0.14225,0.02374,0.09626,0.13624,0.497249083,0.41275,0.44525,0.968750794,0.5617504,0.5237504,0.2002504,0.4472504,0.1047504,0.3427504,0.1662504,0.1912504,0.3417504,0.1097504,0.9472504,0.5962504,0.8742,-0.374346,0.026038404,0.379165041
4,0.2503,0.67625,0.97525,0.00225,0.97725,0.06575,0.058751566,0.128266667,0.1502,0.8963,0.51075,0.96075,0.0377,0.32275,0.62,0.4128,0.24925,0.78625,0.210250083,0.66575,0.38376,0.45925,0.0258,0.730322581,0.588250035,0.3178,0.124749499,0.001242485,0.663246493,0.555751503,0.338757515,0.08175,0.20475,0.14975,0.24276,0.89176,0.33626,0.758749583,0.11775,0.13825,0.675249206,0.4332504,0.5667504,0.4387504,0.6477504,0.0867504,0.7892504,0.5972504,0.4882504,0.6432504,0.3857504,0.2442504,0.4347504,0.6438,-0.461932,0.000400615,0.368856152
5,0.5847,0.10975,0.70125,0.61525,0.08375,0.24275,0.787749478,0.516733333,0.1828,0.8058,0.19725,0.28025,0.8587,0.09725,0.132777778,0.8683,0.70675,0.69725,0.557249083,0.79675,0.36574,0.94825,0.9523,0.913225806,0.746250075,0.6252,0.681743487,0.257755511,0.672244489,0.140240481,0.433747495,0.03525,0.25325,0.95075,0.57776,0.49524,0.59674,0.524251417,0.13075,0.57675,0.148750794,0.3942504,0.4952504,0.1622504,0.0812504,0.3432504,0.7217504,0.6317504,0.9572504,0.1052504,0.2262504,0.7952504,0.8907504,0.4582,-0.452579,0.001200885,0.368748563
6,0.8622,0.39825,0.88175,0.85875,0.23575,0.51975,0.633749478,0.017733333,0.6898,0.7092,0.26175,0.87975,0.7318,0.33425,0.452222222,0.5253,0.58625,0.12275,0.795248416,0.25775,0.80676,0.44925,0.7508,0.659354839,0.238250035,0.7247,0.921743487,0.369258517,0.518757515,0.139759519,0.093747495,0.17125,0.59675,0.96475,0.70226,0.33924,0.04926,0.115248416,0.12275,0.72375,0.973750794,0.2542504,0.0382504,0.6047504,0.9532504,0.1757504,0.3347504,0.2187504,0.3662504,0.8897504,0.9052504,0.6142504,0.2947504,0.2387,-0.298891,0.048134651,0.38814211
7,0.7393,0.82875,0.55875,0.47225,0.99925,0.54425,0.659749478,0.370733333,0.0438,0.6848,0.01325,0.32575,0.4502,0.70325,0.818888889,0.0908,0.19075,0.91525,0.901250417,0.59475,0.74726,0.34675,0.0137,0.473225806,0.584749905,0.7908,0.718256513,0.111242485,0.755751503,0.313246493,0.847755511,0.71125,0.16525,0.58275,0.73824,0.86076,0.26874,0.79924975,0.46125,0.95275,0.967750794,0.3012504,0.1092504,0.2402504,0.7807504,0.8237504,0.6302504,0.1767504,0.4222504,0.8652504,0.6752504,0.6822504,0.8932504,0.0972,-0.30796,0.040685396,0.383039612
8,0.6793,0.18525,0.09275,0.17625,0.12525,0.03125,0.474751566,0.058733333,0.0282,0.6018,0.60975,0.37625,0.6033,0.11575,0.938888889,0.2952,0.68825,0.42425,0.337249083,0.62325,0.11926,0.19525,0.9703,0.418387097,0.493749925,0.3158,0.763246493,0.385751503,0.938256513,0.558256513,0.798256513,0.77175,0.19725,0.74875,0.65676,0.42176,0.15226,0.438749583,0.47175,0.27425,0.986250794,0.0622504,0.0047504,0.9222504,0.5132504,0.5507504,0.5787504,0.5747504,0.1887504,0.9362504,0.6132504,0.2657504,0.8522504,0.8898,-0.172643,0.09151563,0.411088885
9,0.4812,0.68475,0.86125,0.35875,0.01025,0.38425,0.011749478,0.856733333,0.9652,0.5683,0.17175,0.42725,0.0667,0.84025,0.985,0.2528,0.10425,0.22375,0.698249416,0.70425,0.12826,0.68425,0.1347,0.669677419,0.391749965,0.4757,0.876252505,0.139759519,0.462244489,0.421242485,0.179759519,0.14925,0.47125,0.69225,0.55176,0.99426,0.02026,0.90924975,0.73775,0.97375,0.274250794,0.4577504,0.7217504,0.2382504,0.2387504,0.7792504,0.0952504,0.4537504,0.1642504,0.9817504,0.3117504,0.6427504,0.1182504,0.6248,-0.406636,0.007534663,0.369317811
10,0.2323,0.74975,0.67025,0.63775,0.75775,0.20475,0.807248434,0.066733333,0.1218,0.4293,0.21725,0.51975,0.7057,0.09225,0.003333333,0.4268,0.42775,0.09675,0.104751584,0.97975,0.19774,0.18325,0.5842,0.337096774,0.213749925,0.2007,0.329258517,0.409258517,0.756753507,0.390240481,0.301743487,0.81125,0.14125,0.68175,0.99626,0.81326,0.85324,0.755248416,0.65675,0.55325,0.316250794,0.8937504,0.5932504,0.9307504,0.4747504,0.0697504,0.0547504,0.5197504,0.4352504,0.0527504,0.0957504,0.7827504,0.5637504,0.8493,-0.304771,0.01252522,0.361219915
