Sim_No.,1:V__TIMP.bsn,2:V__SFTMP.bsn,3:V__SMTMP.bsn,4:V__SMFMN.bsn,5:V__SMFMX.bsn,6:V__SNOCOVMX.bsn,7:V__SURLAG.bsn,8:V__ADJ_PKR.bsn,9:V__EVRCH.bsn,10:V__TRNSRCH.bsn,11:V__GW_DELAY.gw,12:V__GWQMN.gw,13:V__ALPHA_BF.gw,14:V__REVAPMN.gw,15:V__GW_REVAP.gw,16:V__RCHRG_DP.gw,17:V__GW_SPYLD.gw,18:V__LAT_TTIME.hru,19:V__OV_N.hru,20:V__SLSUBBSN.hru,21:R__HRU_SLP.hru,22:V__SLSOIL.hru,23:V__ESCO.hru,24:V__CH_N2.rte,25:V__CH_K2.rte,26:V__ALPHA_BNK.rte,27:R__CH_WDR.rte,28:R__CH_D.rte,29:R__CH_W2.rte,30:R__CH_L2.rte,31:R__CH_S2.rte,32:V__SOL_K(..).sol,33:V__SOL_BD(..).sol,34:V__ELEVB(..).sub,35:R__CH_L1.sub,36:R__CH_S1.sub,37:R__CH_W1.sub,38:V__CH_N1.sub,39:V__CH_K1.sub,40:V__PLAPS.sub,41:V__CN2.mgt,42:V__RAINHHMX(..).wgn,43:V__RAINHHMX(..).wgn,44:V__RAINHHMX(..).wgn,45:V__RAINHHMX(..).wgn,46:V__RAINHHMX(..).wgn,47:V__RAINHHMX(..).wgn,48:V__RAINHHMX(..).wgn,49:V__RAINHHMX(..).wgn,50:V__RAINHHMX(..).wgn,51:V__RAINHHMX(..).wgn,52:V__RAINHHMX(..).wgn,53:V__RAINHHMX(..).wgn,54:V__BIOMIX.mgt,NSE,bR?,D
1,0.7386,0.3918075,0.73312,0.45274,0.908625,0.6025746,0.144868476,0.565666667,0.5802,0.2216,0.2890732,0.43908408,0.3969,0.0200924,0.88,0.0832,0.388,0.057155556,0.701507169,0.902300714,0.47096,0.524518,0.4508,0.860322581,0.617813844,0.835,0.187354709,0.824428858,0.908236473,0.893446894,0.623286573,0.10016995,0.399625,0.52217535,0.41842,0.36958,0.64928,0.414934978,0.469977,0.1877661,0.902415873,0.4359312,0.3418152,0.5365216,0.9265288,0.5122352,0.9193896,0.2180328,0.6334968,0.8619712,0.0587912,0.6669976,0.3329016,0.7676,0.538309,0.547327063,0.902095195
2,0.9301,0.50267,0.5792025,0.521335,0.46534,0.3172118,0.200104384,0.405733333,0.904,0.2305,0.5553224,0.72842242,0.356,0.3706082,0.671666667,0.2496,0.181,0.017323889,0.971133711,0.547897857,0.39196,0.849585333,0.8642,0.973225806,0.563077538,0.603,0.106553106,0.604148297,0.872124248,0.542625251,0.648537074,0.4525371,0.36475,0.404585688,0.46874,0.6241,0.79238,0.558976325,0.541238333,0.2342667,0.747965079,0.0336512,0.0376176,0.046392,0.6853336,0.050236,0.5295008,0.4347056,0.4853632,0.3989976,0.154272,0.8082048,0.349328,0.3663,0.343921,0.463116346,0.873797379
3,0.8574,0.1064075,0.584275,0.07131,0.922165,0.408034,0.232772443,0.7152,0.8476,0.4654,0.7799786,0.68449736,0.6559,0.4078596,0.983888889,0.1021,0.11025,0.301601111,0.559203068,0.698847143,0.48178,0.860089333,0.614,0.811612903,0.449829603,0.9854,0.154348697,0.666673347,0.648256513,0.625871743,0.481042084,0.3585375,0.2554375,0.437249513,0.3242,0.12348,0.40566,0.615801934,0.147993,0.47254205,0.62412381,0.1860816,0.5994392,0.2890656,0.9169328,0.10278,0.6516736,0.3180584,0.523044,0.9020688,0.5400264,0.3899424,0.0846496,0.5642,-0.132114,0.09252328,0.405810374
4,0.5749,0.44031,0.937495,0.27412,0.407635,0.5227278,0.254016701,0.572333333,0.5176,0.3443,0.5657206,0.79076758,0.4588,0.5061214,0.745555556,0.3311,0.33275,0.525857778,0.865965322,0.943767143,0.15474,0.549026,0.8383,0.862580645,0.538810224,0.4506,0.481002004,0.63501002,0.909298597,0.873727455,0.521082164,0.04135455,0.2995625,0.572358825,0.80754,0.6202,0.869,0.847972658,0.167933,0.3230988,0.862820635,0.5859032,0.4890288,0.6455816,0.4079912,0.5324192,0.5516872,0.204736,0.567052,0.6238528,0.2055488,0.7877168,0.2542136,0.8945,0.180816,0.234970159,0.571004219
5,0.6764,0.178665,0.620535,0.048115,0.883155,0.4255948,0.332889353,0.263666667,0.8086,0.2049,0.5794024,0.63887202,0.4164,0.0288918,0.630555556,0.0758,0.21825,0.071342222,0.853794598,0.551776429,0.70734,0.738088,0.6938,0.587096774,0.365433091,0.8517,0.412344689,0.47987976,0.56248497,0.790180361,0.697795591,0.3325432,0.06125,0.515642638,0.90054,0.35098,0.90086,0.535575192,0.066924667,0.00080175,0.644061905,0.275204,0.2421528,0.1720336,0.929088,0.1777504,0.4629416,0.320476,0.5822968,0.5797456,0.4059408,0.3830088,0.4579552,0.6059,0.135262,0.430876783,0.852521
6,0.6507,0.404675,0.517585,0.14024,0.72873,0.3383396,0.318814196,0.479266667,0.5642,0.3425,0.6437072,0.4254815,0.3143,0.2295218,0.732777778,0.0129,0.11775,0.028509444,0.990483494,0.666628571,0.37486,0.809188,0.8815,0.572580645,0.715422692,0.5925,0.30248497,0.518396794,0.929498998,0.853386774,0.786472946,0.48036935,0.0915,0.589878538,0.78698,0.1973,0.4651,0.457782594,0.527509,0.063337,0.774361905,0.1160128,0.1623584,0.4360728,0.9367656,0.4516816,0.5256544,0.4286616,0.7379088,0.7685128,0.0363944,0.8800688,0.4730568,0.4554,0.431425,0.369234985,0.729553645
7,0.9408,0.26115,0.7810425,0.133945,0.587205,0.3243458,0.163457203,0.7142,0.74,0.3004,0.7838094,0.75676114,0.3281,0.1453394,0.582777778,0.0185,0.11925,0.398997222,0.505215072,0.64873,0.34436,0.515092,0.404,0.612580645,0.568739825,0.8855,0.439278557,0.626833667,0.780781563,0.638076152,0.784308617,0.3700905,0.2684375,0.560481138,0.38098,0.58418,0.67594,0.461730577,0.144070333,0.0325504,0.934990476,0.0800568,0.5798976,0.3923848,0.8468768,0.5304968,0.829756,0.2237744,0.3380928,0.5112712,0.2886528,0.388052,0.4168888,0.5588,0.708538,0.621978898,0.896917432
8,0.9895,0.1040975,0.5084575,0.14256,0.525305,0.1822132,0.136634656,0.677333333,0.783,0.1521,0.68831,0.76951352,0.4729,0.1878706,0.92,0.2287,0.05425,0.285231667,0.816972324,0.98583,0.21176,0.811072667,0.4854,0.912258065,0.648822224,0.778,0.439799599,0.583827655,0.565130261,0.678456914,0.623907816,0.21727555,0.264375,0.491293238,0.54302,0.48664,0.51414,0.758022674,0.135571,0.01523295,0.826874603,0.1664128,0.6277744,0.211576,0.9047768,0.1354592,0.5135264,0.0563592,0.4261104,0.51744,0.5615392,0.4454168,0.4070856,0.5506,0.740132,0.647108156,0.934158838
9,0.7156,0.4568075,0.7095375,0.012655,0.8435,0.422302,0.087503132,0.6582,0.5504,0.2807,0.5410932,0.5555562,0.5874,0.19931,0.722222222,0.1563,0.2695,0.456016111,0.620993665,0.982548571,0.35604,0.798415333,0.7021,0.570967742,0.706255075,0.8619,0.392004008,0.705971944,0.94250501,0.45751503,0.618677355,0.2703144,0.1878125,0.366873875,0.38344,0.10186,0.86226,0.874714905,0.258807667,0.3038572,0.944819048,0.2727456,0.2226112,0.5476832,0.3229016,0.5314584,0.582452,0.3210808,0.6582336,0.8286592,0.4121288,0.5169656,0.0409336,0.6823,0.636039,0.628499448,0.876758489
10,0.7063,0.43602,0.7219625,0.29301,0.443095,0.1909936,0.228521921,0.633733333,0.942,0.2547,0.6697026,0.28832208,0.4469,0.3700216,0.851666667,0.139,0.2725,0.505669444,0.697762588,0.805347143,0.37856,0.565993333,0.4492,0.897419355,0.611072979,0.6354,0.227755511,0.788016032,0.783166333,0.618056112,0.727054108,0.283968,0.4835625,0.211572338,0.75814,0.2003,0.6649,0.559583194,0.404926333,0.2474151,0.882196825,0.5948152,0.6492704,0.4386232,0.5698544,0.5378656,0.7371648,0.0397384,0.7059816,0.4745664,0.4928752,0.6717256,0.3056128,0.3985,0.307299,0.474534326,0.769576214
