Sim_No.,1:V__TIMP.bsn,2:V__SFTMP.bsn,3:V__SMTMP.bsn,4:V__SMFMN.bsn,5:V__SMFMX.bsn,6:V__SNOCOVMX.bsn,7:V__SURLAG.bsn,8:V__ADJ_PKR.bsn,9:V__EVRCH.bsn,10:V__TRNSRCH.bsn,11:V__GW_DELAY.gw,12:V__GWQMN.gw,13:V__ALPHA_BF.gw,14:V__REVAPMN.gw,15:V__GW_REVAP.gw,16:V__RCHRG_DP.gw,17:V__GW_SPYLD.gw,18:V__LAT_TTIME.hru,19:V__OV_N.hru,20:V__SLSUBBSN.hru,21:R__HRU_SLP.hru,22:V__SLSOIL.hru,23:V__ESCO.hru,24:V__CH_N2.rte,25:V__CH_K2.rte,26:V__ALPHA_BNK.rte,27:R__CH_WDR.rte,28:R__CH_D.rte,29:R__CH_W2.rte,30:R__CH_L2.rte,31:R__CH_S2.rte,32:V__SOL_K(..).sol,33:V__SOL_BD(..).sol,34:V__ELEVB(..).sub,35:R__CH_L1.sub,36:R__CH_S1.sub,37:R__CH_W1.sub,38:V__CH_N1.sub,39:V__CH_K1.sub,40:V__PLAPS.sub,41:V__CN2.mgt,42:V__RAINHHMX(..).wgn,43:V__RAINHHMX(..).wgn,44:V__RAINHHMX(..).wgn,45:V__RAINHHMX(..).wgn,46:V__RAINHHMX(..).wgn,47:V__RAINHHMX(..).wgn,48:V__RAINHHMX(..).wgn,49:V__RAINHHMX(..).wgn,50:V__RAINHHMX(..).wgn,51:V__RAINHHMX(..).wgn,52:V__RAINHHMX(..).wgn,53:V__RAINHHMX(..).wgn,54:V__BIOMIX.mgt,NSE,bR2,D
1,0.1673,0.02125,0.14125,0.41825,0.69125,0.98975,0.436751566,0.148733333,0.3722,0.7567,0.61275,0.81725,0.2973,0.15425,0.895,0.3663,0.16325,0.27725,0.491250417,0.64775,0.36674,0.13575,0.8363,0.922903226,0.328750025,0.5518,0.219759519,0.414749499,0.206753507,0.341743487,0.910741483,0.13625,0.65225,0.14225,0.02374,0.09626,0.13624,0.497249083,0.41275,0.44525,0.968750794,0.5617504,0.5237504,0.2002504,0.4472504,0.1047504,0.3427504,0.1662504,0.1912504,0.3417504,0.1097504,0.9472504,0.5962504,0.8742,-0.374346,0.026038404,0.379165041
2,0.8622,0.39825,0.88175,0.85875,0.23575,0.51975,0.633749478,0.017733333,0.6898,0.7092,0.26175,0.87975,0.7318,0.33425,0.452222222,0.5253,0.58625,0.12275,0.795248416,0.25775,0.80676,0.44925,0.7508,0.659354839,0.238250035,0.7247,0.921743487,0.369258517,0.518757515,0.139759519,0.093747495,0.17125,0.59675,0.96475,0.70226,0.33924,0.04926,0.115248416,0.12275,0.72375,0.973750794,0.2542504,0.0382504,0.6047504,0.9532504,0.1757504,0.3347504,0.2187504,0.3662504,0.8897504,0.9052504,0.6142504,0.2947504,0.2387,-0.298891,0.048134651,0.38814211
3,0.4812,0.68475,0.86125,0.35875,0.01025,0.38425,0.011749478,0.856733333,0.9652,0.5683,0.17175,0.42725,0.0667,0.84025,0.985,0.2528,0.10425,0.22375,0.698249416,0.70425,0.12826,0.68425,0.1347,0.669677419,0.391749965,0.4757,0.876252505,0.139759519,0.462244489,0.421242485,0.179759519,0.14925,0.47125,0.69225,0.55176,0.99426,0.02026,0.90924975,0.73775,0.97375,0.274250794,0.4577504,0.7217504,0.2382504,0.2387504,0.7792504,0.0952504,0.4537504,0.1642504,0.9817504,0.3117504,0.6427504,0.1182504,0.6248,-0.406636,0.007534663,0.369317811
4,0.4137,0.47325,0.59525,0.01875,0.87925,0.83925,0.005749478,0.578733333,0.4118,0.6658,0.03025,0.09725,0.1007,0.62125,0.313888889,0.0978,0.69675,0.15925,0.62375125,0.84075,0.02174,0.17875,0.8963,0.859677419,0.485750085,0.4083,0.035250501,0.072745491,0.637755511,0.810741483,0.192244489,0.02925,0.51775,0.32075,0.99924,0.03324,0.95974,0.199749917,0.97125,0.28775,0.496249206,0.8187504,0.5102504,0.7007504,0.5677504,0.5022504,0.5577504,0.2537504,0.5542504,0.1527504,0.2547504,0.0512504,0.3667504,0.5443,-0.39691,0.021305598,0.378303517
5,0.9808,0.73675,0.60075,0.18625,0.40475,0.98125,0.275749478,0.957266667,0.6548,0.3582,0.26075,0.49725,0.6862,0.04875,0.722777778,0.5408,0.65925,0.40425,0.47375125,0.39575,0.05426,0.65425,0.2567,0.238709677,0.594249915,0.7872,0.475751503,0.114248497,0.357755511,0.961242485,0.522244489,0.60925,0.47575,0.37975,0.32376,0.92024,0.68324,0.515248416,0.68025,0.67475,0.199750794,0.8052504,0.6102504,0.9457504,0.6557504,0.7882504,0.3997504,0.3742504,0.2052504,0.0407504,0.2472504,0.8387504,0.5252504,0.5573,-0.26435,0.019728853,0.35716307
6,0.0768,0.92025,0.15175,0.41175,0.92625,0.68725,0.453749478,0.933733333,0.3452,0.4238,0.43325,0.85825,0.3512,0.39825,0.365555556,0.5853,0.12975,0.12125,0.611250417,0.29525,0.00924,0.51225,0.4963,0.283870968,0.891249975,0.3772,0.337755511,0.825751503,0.249759519,0.287254509,0.728757515,0.84125,0.21375,0.25625,0.80174,0.74224,0.92776,0.848249416,0.78125,0.60775,0.714750794,0.9162504,0.2822504,0.9757504,0.3917504,0.2637504,0.4547504,0.1982504,0.7547504,0.1217504,0.7727504,0.8842504,0.0202504,0.1093,-0.180232,0.044040485,0.364840442
7,0.3857,0.78525,0.67075,0.28325,0.52025,0.16225,0.570250522,0.423266667,0.5642,0.6248,0.80275,0.10925,0.1503,0.12325,0.95,0.2253,0.83825,0.37275,0.523251084,0.51275,0.96676,0.17275,0.3842,0.367096774,0.531749965,0.0012,0.702244489,0.540240481,0.157254509,0.200741483,0.308256513,0.72325,0.85575,0.85675,0.36476,0.44074,0.53724,0.38624875,0.82475,0.26575,0.585750794,0.4572504,0.8087504,0.2167504,0.5262504,0.1937504,0.3132504,0.4882504,0.3192504,0.4002504,0.0907504,0.8577504,0.1742504,0.2307,-0.387593,0.003209073,0.363476091
8,0.1583,0.35675,0.09125,0.99125,0.40825,0.89025,0.539749478,0.251733333,0.6058,0.8278,0.42425,0.88025,0.6848,0.09375,0.576111111,0.6727,0.12925,0.29325,0.981250417,0.13475,0.24974,0.49825,0.8332,0.145806452,0.226250075,0.1733,0.903747495,0.216753507,0.437254509,0.474248497,0.612745491,0.30125,0.82725,0.64325,0.89324,0.61076,0.22224,0.958249416,0.17125,0.31575,0.956750794,0.6007504,0.1287504,0.1332504,0.6782504,0.1312504,0.8152504,0.2072504,0.5502504,0.1532504,0.9652504,0.7577504,0.6402504,0.9147,-0.439648,0.007026483,0.371598676
9,0.0532,0.40075,0.78875,0.49025,0.83675,0.64325,0.879749478,0.834733333,0.7028,0.8827,0.33825,0.41375,0.0268,0.61375,0.372777778,0.2928,0.59525,0.19925,0.027249083,0.24575,0.91624,0.13675,0.0027,0.399354839,0.273749925,0.0758,0.858757515,0.648256513,0.422745491,0.129759519,0.924749499,0.19225,0.53975,0.28875,0.55426,0.78776,0.50626,0.289749917,0.65025,0.25425,0.459250794,0.2607504,0.7487504,0.6502504,0.4262504,0.2877504,0.2472504,0.0592504,0.8042504,0.7567504,0.9662504,0.6972504,0.1782504,0.0953,-0.453869,0.0016382,0.369204924
10,0.5203,0.84175,0.76475,0.78725,0.34275,0.52725,0.632250522,0.772733333,0.9602,0.3162,0.81175,0.80825,0.0172,0.16975,0.967222222,0.3462,0.22225,0.07475,0.048749583,0.45625,0.39174,0.51575,0.2153,0.468709677,0.528750025,0.4818,0.697755511,0.128256513,0.365751503,0.693246493,0.511242485,0.40025,0.36825,0.46825,0.88524,0.27776,0.31374,0.978249416,0.89975,0.57625,0.803250794,0.1782504,0.4432504,0.0932504,0.3717504,0.4397504,0.7447504,0.9407504,0.6167504,0.7697504,0.2192504,0.6457504,0.5017504,0.8393,0.556835,0.530845662,0.832775688
